Name,Content_Warning,Related_Mange,staff
Dog Days Recap,,Dog Days,Masaki Tsuzuki : Original Creator
Perman,,Perman,"Fujiko F. Fujio : Original Creator, Shinichi Suzuki : Director, Hiroshi Tsutsui : Music"
Utakata,,Utakata,"Keiji Gotou : Director, Megumi Oohashi : Music, Megumi Kadonosono : Character Design, Hisaharu Iijima : Art Director, Katsunori Haruta : Producer, Jun Yukawa : Producer, Shigeru Nishiyama : Editor, Shinichi Watanabe : Episode Director"
Terra Formars: Earth Arc,Nudity,"Terra Formars, Terra Formars Gaiden: Rain Hard, Terra Formars: The Outer Mission (Light Novel), Terra Formars Gaiden: Asimov, Terra Formars Gaiden: Keiji Onizuka","Yu Sasuga : Original Creator, Michio Fukuda : Director & Series Composition, Takafumi Wada : Music, Atsushi Ikariya : Character Design, Minami Yoshida : Character Design, Hiroyuki Oomori : Producer, Satoshi Tanaka : Producer, Shinya Shinozaki : Producer"
Magical Girl Lyrical Nanoha A's Picture Drama,,,
Mobile Suit Gundam SEED Destiny Recap,,,
Ofuro no Kazoe Uta,,,
Hime Gal♥Paradise,,,"Akira Wao : Original Creator, Yoshitaka Fujimoto : Director, Shouko Hagiwara : Character Design"
40MeterP: Dare mo Shiranai Happy End,,,40Meterp : Producer
Sinbad: Night at High Noon and the Wonder Gate,,,"Hiroyuki Kawasaki : Series Composition, Takashi Inoue : Producer"
Narihero www: Heroine Kentei,,,Souta Sugahara : Director & Character Design & Original Creator
Baki OVA,Explicit Violence,"Baki the Grappler, Baki, Baki Gaiden: Scarface, Hanma Baki, Baki Gaiden: Kizuzura, Baki Gaiden: Kenjin, Baki-Dou, Baki-Dou (2018)","Keisuke Itagaki : Original Creator, Teiichi Takiguchi : Director & Character Design & Chief Animation Director, Kenji Fujisawa : Music"
Ai no Kusabi: The Space Between,"Mature Themes,, Physical Abuse,, Sexual Abuse,, Sexual Content",Ai no Kusabi: the Space Between (Light Novel),"Katsuhito Akiyama : Director, Tetsuya Takahashi : Music, Naoyuki Onda : Character Design & Chief Animation Director"
Pocari Sweat: Nechusho No!No!,,,Mitchie M : Music
HoneyWorks: Konyaku Sensou,,,Honeyworks : Song Composition
Oreimo 2 Specials,,"Ore no Imouto ga Konna ni Kawaii Wake ga Nai (Light Novel), Oreimo, Oreimo Comic Anthology, Ore no Imouto ga Konna ni Kawaii Wake ga Nai: 4-koma Koushiki Anthology, Ore no Imouto ga Konna ni Kawaii Wake ga Nai: Ayase if",
Tokimeki Memorial: Only Love Specials,,Tokimeki Memorial: Only Love,"Teruyuki Nobuchika : Music, Hajime Mizoguchi : Music, Kiyotaka Nakahara : Character Design"
"7-Eleven: Tokimeki wa, Sugusoba ni. Memorial Movie",,,Hiroshi Kawamata : Director
Minami Kamakura High School Girls Cycling Club: We're In Taiwan!!,,Minami Kamakura Koukou Joshi Jitenshabu,Noriyuki Matsumoto : Original Creator
Kamen Rider Den-O: Imagin Anime,,Kamen Rider Buster,
True Cooking Master Boy,,"Cooking Master Boy, Shin Chuuka Ichiban!","Itsurou Kawasaki : Director & Series Composition & Sound Director, Jun Ichikawa : Music, Saki Hasegawa : Character Design, Hiroshi Kamei : Producer, Rina Shinoda : Producer, Morio Kitaoka : Producer, Teruaki Jitsumatsu : Producer, Ouyang Yanting : Producer"
UFO Ultramaiden Valkyrie,,UFO Princess Valkyrie,"Kaishaku : Original Creator, Shigeru Ueda : Director, Kenji Kawai : Music, Maki Fujii : Character Design, Kazuhito Kikuchi : Storyboard"
Obocchama-kun,,Obocchama-kun,"Tetsuo Yasumi : Director, Keita Miyahara : Music, Tsuguo Kozawa : Photography Director"
Poppin' Party: Romeo to Cinderella,,,
Megane,,,
Atomic World,,,Yoshiki Imazu : Director
Garo: Crimson Moon Special,,,
Ippatsu Kanta-kun,,,"Hiroshi Sasagawa : Director, Koba Hayashi : Music, Akira Inoue : Producer"
Otogi Zoshi,Violence,Otogi Zoshi,"Shouu Tajima : Original Character Design, Mizuho Nishikubo : Director, Kenji Kawai : Music, Hideki Taniuchi : Music, Kazuchika Kise : Character Design, Toshio Nakatani : Producer, Katsuji Morishita : Producer, Yoshinori Sugano : Producer"
Rilakkuma: Rilakkuma wa Kigurumi Nan desu,,,
Indian Summer,Nudity,Indian Summer,"Takehito Mizuki : Original Creator, Takayuki Inagaki : Director, Takeshi Watanabe : Music, Yoshiaki Ookuma : Character Design, Takaya Ibira : Producer, Nobuhiro Nakayama : Producer, Yasuhiro Mikami : Producer, Shun Umezawa : Producer"
Yumedamaya Kidan,,,"Itsurou Kawasaki : Director, Shouko Nakamura : Animation Director & Character Design, Yoshiaki Kyougoku : Key Animator, Shinpei Kamata : Key Animator"
Minna no Uta: Hana,,,
Kimi no Tonari ni Itai Kara,,,
Qing Chi Hong Xiaodou Ba!,,,
Konjiki no Gash Bell!! Ougon no Chichi wo Motsu Otoko,,"Zatch Bell!, Zatch Bell! Side Story: Friends",
Wakusei Robo Danguard A tai Konchuu Robot Gundan,,,"Shunsuke Kikuchi : Music, Chiaki Imada : Producer"
Love Live! x Watering KissMint Collaboration CM,,,
The Three Musketeers: Adventure of Aramis,,,"Kunihiko Yuyama : Director, Takashi Kumazen : Character Design, Shuuichi Kakesu : Editor, Keishi Sakai : Key Animator"
Cure Miracle to Mofurun no Mahou Lesson,,Futari wa Pretty Cure: Splash Star,
Machine Robo: The Running Battle Hackers,,,Nobuaki Kishima : Screenplay & Series Composition
Tomato ni Natta Otokonoko,,,
Mitchie M x OSTER project: Uta no Sumu Ie ~Maison Hatsune~,,,"Mitchie M : Producer, Oster Project : Producer"
Harukanaru Toki no Naka de ~Hachiyou Shou~ OVA,,"Haruka: Beyond the Stream of Time, Harukanaru Toki no Naka de 4, Harukanaru Toki no Naka de 5",
Tayo the Little Bus 5,,,
Fastest Finger First,,7O3X,"Ikura Sugimoto : Original Creator, Masaharu Okuwaki : Director, Makoto Takahoko : Character Design, Fumio Maezono : Episode Director, Hiromi Sakamoto : Chief Animation Director"
Genki! Genki! Nontan,,,"Yutaka Kagawa : Director, Toshihiko Sahashi : Music"
Slap Up Party: Arad Senki,,Slap Up Party: Arad Senki,"Lee Jin-Hyung : Director, Takahiro Ikezoe : Director, Takeshi Nakatsuka : Music, Tomokatsu Nagasaku : Character Design, Yuuichi Furuichi : Color Design, Junichi Takagi : Producer, Kim Bong-Suk : Producer, Kazuo Oonuki : Producer"
CLAMP in Wonderland,,,"Clamp : Original Character Design & Original Creator, Morio Asaka : Director, Kumiko Takahashi : Character Design"
Vooid: Rabbit Hole,,,"He Lo : Director, Vooid : Song Arrangement & Song Composition & Song Performance, Wang Yuchain : Song Arrangement"
Kaitei Choutokkyuu Marine Express,,,"Satoshi Dezaki : Chief Director, Yuuji Oono : Music, Hidehiko Takei : Producer, Satoru Yamamoto : Producer"
MegaMan: NT Warrior,,"Mega Man Megamix, Rockman DASH, MegaMan NT Warrior, Rockman Zero, Rockman, Mega Man Gigamix","Takao Kato : Director, Katsumi Horii : Music, Mitsuru Ishihara : Character Design, Noriko Kobayashi : Producer, Toshihiro Nakazawa : Producer, Sayako Muramatsu : Producer, Teruaki Sanematsu : Producer, Kazuhito Kikuchi : Storyboard"
Saraba Jamaica,,,
The New Adventures of Kimba The White Lion,,"Jungle Taitei, Leo the Lion Cub","Osamu Tezuka : Character Design & Original Creator, Rintarou : Director, Tomoyuki Asakawa : Music, Yoshiaki Kawajiri : Character Design"
Dear Boys,,"Dear Boys, Dear Boys Act II, Dear Boys Act 3, Dear Boys: Over Time","Hiroki Yagami : Original Creator, Susumu Kudou : Director, Nobuaki Kishima : Screenplay & Series Composition, Nittoku Inoue : Music, Akira Kano : Character Design, Kayo Fukuda : Producer, Machiu Hattori : Producer, Kunitoshi Okajima : Episode Director"
DECO*27: Love-Lost Elegy,,,Deco*27 : Producer
SmileR: Memories,,,"Wakamurap : Director, Smiler : Producer"
Blue Seed Specials,,Blue Seed,"Yuuzou Takada : Original Creator, Kenji Kawai : Music"
My Melody no Akazukin,,,"Hidemi Kubo : Director, Ryo Kitayama : Music, Tsunemasa Hatano : Producer, Ryuji Yoshikawa : Producer, Mariko Hirai : Producer & Producer"
Tesagure! Bukatsumono Encore,,,"Kotaro Ishidate : Director, Junichi Inoue : Music, Gochou Kedama : Character Design"
Magical Star Magical Emi Music Clip: Kaze no Invitation,,,
DECO*27: Kanchigaisei Han Kiboushou,,,Deco*27 : Producer
CLAMP School Detectives,,"Duklyon: CLAMP School Defenders, CLAMP School Detectives, CLAMP School Paranormal Investigators (Light Novel)","Clamp : Original Creator, Osamu Nabeshima : Director, Masaharu Amiya : Screenplay & Series Composition, Mayori Sekijima : Series Composition, Mikiya Katakura : Music, Hiroto Tanaka : Character Design, Masashi Kubota : Screenplay, Hiroki Kanno : Animation Director"
Mr. Shape,,,Motohiro Shirakawa : Director
Imai: Fly,,,"Baku Hashimoto : Director, Imai : Music"
Harumaki Gohan: Cobalt Memories,,,"Harumaki Gohan : Producer & Director & Song Composition & Song Performance, Miku Hatsune : Song Performance"
Zutomayo: Kangurei,,,"Aca-Ne : Song Composition & Song Lyrics & Song Performance, Zutomayo : Song Performance"
Ling Feng Zhe,,,
Nissin Cup Noodles China x Gintama,,"Gintama, Gintama Kanketsu-hen: Yorozuya yo Eien Nare (Light Novel)",
Tekkaman Blade: Twin Blood,,,
The [email protected]: Cinderella Girls Theater Climax Season,,THE [email protected]: Cinderella Girls Theater,
Piacere Couture,,,
Ghibli ga Ippai Special Short Short,,,Hayao Miyazaki : Director
Pokemon XY: Pikachu the Movie,,,"Kunihiko Yuyama : Director, Tetsuo Yajima : Director"
Washimo 6,,,"Toshifumi Kawase : Director, Edison : Music, Satoru Kosaka : Character Design, Rie Matsubara : Editor"
Cofun Gal no Coffy: Campus Life,,,Frogman : Director
Oden-kun,,,"Michiya Katou : Director, Hiroshi Igarashi : Music, Kazumi Nonaka : Character Design"
Ganbare! Lulu Lolo 2nd Season,,,
Tiny Twin Bears 3rd Season,,,
Boonie Cubs,,,
Asteroid in Love: KiraKira Zoukangou!,,Asteroid in Love,
Oniku Daisuki! Zeushi-kun 2nd Season,,,
Yakusoku (2011),,,"Aki Kono : Director, Sayaka Yamamoto : Music, Yuichi Ito : Producer"
Nakado Riku Animation: Hijouyou Mochidashi Bukuro wo Youi Shiyou,,,Takashi Shinohara : Character Design
Rokudenashi Blues 1993,,Rokudenashi Blues,"Masanori Morita : Original Creator, Hiroyuki Kakudou : Director, Kimio Nomura : Music, Masami Suda : Character Design"
Koi Suru Tenshi Angelique: Kagayaki no Ashita Special,,"Angelique, Neo Angelique",
Ijigen Gattai Mojibakeru Z,,,Mayori Sekijima : Screenplay
Kaiketsu Zorori Movie 1: Da-Da-Da-Daibouken!,,,"Tomoko Iwasaki : Director, Kouhei Tanaka : Music, Hideyuki Funakoshi : Character Design"
Kano: Sanctuary,,,Kano : Song Performance
Dragonaut: The Resonance,,Dragonaut: The Resonance,"Manabu Ono : Director, Kousuke Yamashita : Music, Makoto Uno : Character Design, Yuuichi Furuichi : Color Design, Masaru Nagai : Producer, Masanori Miyake : Producer, Naoki Miura : Producer"
Koukou,,,Takashi Ohashi : Director
Venus Wars,Violence,Venus Wars,"Yoshikazu Yasuhiko : Director & Character Design & Original Creator, Joe Hisaishi : Music, Shichirou Kobayashi : Art Director, Tsuneyuki Morishima : Producer, Yasuo Kaneko : Producer, Shinji Hashimoto : Key Animator, Shigenori Kageyama : Key Animator"
Fire Force Mini Anime,,,
Sword Art Online Movie: Ordinal Scale - Sword Art Offline,,"Sword Art Online: Phantom Bullet, Sword Art Online: Calibur, Sword Art Online: Aincrad Night of Kirito, Sword Art Online: Kirito no Gun Gale Wars",Shigeru Nishiyama : Editor
Da Shi Jie,,,Liu Jian : Director
Fate/Kaleid Liner Prisma Illya: Prisma Phantasm,,"Fate/Kaleid Liner Prisma Illya, Fate/Kaleid Liner Prisma Illya 2wei!, Fate/Kaleid Liner Prisma Illya 3rei!!, Fate/Kaleid Liner Prisma Illya (Light Novel)","Shin Oonuma : Director, Kazuya Hirata : Character Design, Shinichi Watanabe : Storyboard"
Astro Boy (1963),,"Astro Boy, Astro Boy: Tetsuwan Atom, Atom: The Beginning","Osamu Tezuka : Director & Original Creator, Tatsuo Takai : Music, Osamu Dezaki : Episode Director"
Baka and Test - Summon the Beasts OVA: Sentakushi Ikou nomi,,,
Kana Kana Kazoku,,,
Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken,Violence,Mangaka Marina Series (Light Novel),
Beer Mukashi Mukashi,,,
Kimi to Fit Boxing,,,"Morita To Jumpei : Director & Screenplay, Yusuke Shirato : Music"
Appleseed XIII Movie 1: Tartaros,,"Appleseed, Appleseed XIII, Appleseed Alpha",Eiji Umehara : Screenplay
Tawawa on Monday 2,,"Getsuyoubi no Tawawa (Doujinshi), Getsuyoubi no Tawawa","Kiseki Himura : Original Creator, Yuuki Ogawa : Director, Hajime Kamoshida : Series Composition, Tako Yamaguchi : Music, Tenshou Satou : Character Design, Koujirou Hayashi : Photography Director, Yukari Yasuda : Art Director, Yuuichi Furuichi : Color Design"
Hoshi no Ko Chobin,,,"Osamu Hirooka : Producer, Hiroyuki Hoshiyama : Screenplay"
The Ultraman (2015),,"Ultraman Tiga, Ultraman","Akitoshi Yokoyama : Director, Hisashi Mori : Character Design, Tomoyuki Ogata : Producer"
Monsuno: Combat Chaos,,,"Yoshiaki Okumura : Director, Yuuichirou Hayashi : Character Design"
New Tokyo Ondo,,,
Monkey Majik: Lupin the Third,,"Lupin III, Lupin Kozou",
Seven Mortal Sins: Tsumi no Kokuhaku Dennou Grimoire!,,,
Yorushika: Juntoumei Shounen,,,"Suis : Song Performance, Yorushika : Song Performance, N-Buna : Song Arrangement & Song Composition & Song Lyrics"
Yatterman (1977),,,"Hiroshi Sasagawa : Director, Masaaki Jinbo : Music, Masayuki Yamamoto : Music, Yoshitaka Amano : Character Design"
Redline Pilot,,,
V6: Taiyou to Tsuki no Kodomo-tachi,,,V6 : Music
Mahou Shoujo Liese Prettia,,,
RahXephon: Tsubasa no Kioku - Memory,,,
Jankenman,,,"Tetsuya Endou : Director, Takahiro Ando : Music, Nobuyoshi Habara : Character Design, Yoshimi Umino : Art Director"
The [email protected]: Cinderella Girls Theater 2nd Season (Web),,"THE [email protected]: Cinderella Girls Theater, The [email protected]: Cinderella Girls - Rockin' Girl, The [email protected]: Cinderella Girls - Wild Wind Girl",
Sky Girls Specials,,,"Shinkichi Mitsumune : Music, Kazunori Iwakura : Character Design"
Chikai,,,Tekken : Director
Kappa Kawatarou,,,
Sen no Hana Sen no Sora,,,
Robby to Kerobby,,,"Yuu Kou : Director, Kei Haneoka : Music, Kouji Watanabe : Character Design, Shigeru Nishiyama : Editor, Kunitoshi Okajima : Episode Director"
Alice in City Roaming,,,"Po Chou Chi : Director, Dow Ning Yang : Producer"
Dragon Ball GT,,,"Akira Toriyama : Original Creator, Minoru Okazaki : Director, Akihito Tokunaga : Music, Katsuyoshi Nakatsuru : Character Design, Kazuhito Kikuchi : Episode Director & Storyboard, Masashi Kubota : Screenplay, Noboru Koizumi : Animation Director"
Ginga Patrol PJ,,,"Yonehiko Watanabe : Director, Tsuneo Komuro : Director, Kouji Makaino : Music, Masahisa Takeichi : Music, Michel Legrand : Music, Eiichi Kubota : Producer"
Saber Marionette R,,"SM Girls: Saber Marionette J (Light Novel), SM Girls: Saber Marionette R (Light Novel), Saber Marionette J, Saber Marionette i - Neo Gene","Satoru Akahori : Original Creator, Kouji Masunari : Director, Toshiyuki Omori : Music, Yukio Iwata : Character Design, Mitsuteru Shibata : Producer, Masaharu Amiya : Screenplay, Yoshiaki Itou : Key Animator, Fumihide Sai : Key Animator"
Buzzer Beater,,Buzzer Beater,"Takehiko Inoue : Original Creator, Shigeyuki Miya : Director & Character Design, Kouichirou Kameyama : Music, Hiromichi Ooishi : Producer, Hideki Tonokatsu : Episode Director & Storyboard, Takaaki Ishiyama : Storyboard"
Stratos 4,,,"Takeshi Mori : Director, Masamichi Amano : Music, Noriyasu Yamauchi : Character Design, Hiroaki Matsuura : Cg Director, Masashi Tsukino : Producer, Kiyoshi Sugiyama : Producer, Hitoshi Yagi : Producer, Kengo Shigemura : Editor"
Rilakkuma: Strawberry Party,,,
The Doraemons: Goal! Goal! Goal!,,"Doraemon, Daichohen Doraemon, The Doraemons: Doraemon Game Comic, Doraemon Plus","Fujiko F. Fujio : Original Creator, Tetsuo Yasumi : Director, Shinji Miyazaki : Music"
Kurousa-P: Jougen no Tsuki,,,Kurousa-P : Producer
Tonkatsu DJ Agetarou,,Tonkatsu DJ Agetarou,"Ipyao : Original Creator, Akitarou Daichi : Director"
Pokemon Black & White: Dekorora Adventure - Dent to Takeshi! Gyarados no Gekirin!!,,,
Neon Genesis IMPACTS,,"Neon Genesis Evangelion, Neon Genesis Evangelion: Angelic Days, Neon Genesis Evangelion: The Shinji Ikari Raising Project, Neon Genesis Evangelion: Campus Apocalypse, Neon Genesis Evangelion: Legend of the Piko Piko Middle School Students","Yuuhei Sakuragi : Director, Buzzg : Music, Asako Nishida : Character Design, Tomoyuki Ogata : Producer"
Nemuranu Machi no Cinderella: Hirose Ryouichi - Memorial Date,,,
HoneyWorks: Hikari Shoumeiron,,,"Yamako : Director, Honeyworks : Producer & Song Composition, Chico : Song Performance, Gumi : Song Performance"
Pokemon: Eevee and Colorful Friends,,,
ID-0,,,"Gorou Taniguchi : Director, Takayuki Hattori : Music, Hiromi Katou : Character Design, Youichi Sekine : Producer, Toshikazu Sugimoto : Producer, Hirofumi Nishikouji : Producer"
Mushiba no Kodomo no Tanjoubi,,,Tadahiko Horiguchi : Director
Hello Kitty no Alps no Shoujo Heidi,,,Hiroyuki Hoshiyama : Screenplay
Tia: Heart Realize,,,Tia : Music
Tanukichi no Ohanashi,,,
Tonari no Tamageta-kun,,,"Noboru Ishiguro : Director, Shinichi Suzuki : Director"
Cocomong 3,,,
Magical Angel Creamy Mami: Zutto Kitto Motto,,Magical Angel Creamy Mami,
Occultic;Nine,,"Occultic;Nine (Light Novel), Occultic;Nine","Chiyomaru Shikura : Original Creator, Kyouhei Ishiguro : Director, Masaru Yokoyama : Music, Tomoaki Takase : Character Design, Kazuko Nakashima : Color Design, Shuko Yokoyama : Producer, Takashi Saiki : Producer, Kanako Itou : Song Performance"
First Love Monster OVA,,First Love Monster,"Akira Hiyoshimaru : Original Creator, Takayuki Inagaki : Director, Mariko Oka : Character Design"
Drops of Life,,,
Sol Bianca - Movie 1,,,"Hiroki Hayashi : Director, Katsuhito Akiyama : Director, Kenjou Kousei : Music, Yuu Hirano : Music, Naoyuki Onda : Animation Director & Character Design, Shigemi Ikeda : Art Director, Yoshikazu Iwanami : Sound Director, Akito Matsuda : Producer"
Shin Koihime Musou: Live Revolution,,"Koihime Musou: Doki Otome darake no Sangokushi Engi, Shin Koihime Musou: Otome Ryouran Sangokushi Engi, Shin Koihime Musou: Moeshouden - Otome Mankan Zenseki","Makoto Itou : Producer, Yuuichirou Takahata : Producer"
Requiem of the Rose King,,Requiem of the Rose King,"Aya Kanno : Original Creator, Kentarou Suzuki : Director, Kow Otani : Music, Tsutomu Hashizume : Character Design, Yoshikazu Iwanami : Sound Director"
Lady Georgie,,Georgie,"Man Izawa : Original Creator, Shigetsuga Yoshida : Director, Takeo Watanabe : Music, Junzaburo Takahata : Character Design, Noboru Tatsuike : Art Director, Shuuichi Kakesu : Editor"
Zhongguo Jingqi Xiansheng,,,Li Haoling : Director
Cookin' Idol Ai! Mai! Main!,,,"Hiroshi Watanabe : Director, Tomoki Hasegawa : Music"
"Three Leaves, Three Colors Specials",,"Three Leaves, Three Colors, Three Leaves, Three Colors Anthology Comic",Cherry Arai : Original Creator
Happy Lesson Special,,Happy Lesson,
Juuni Senshi Bakuretsu Eto Ranger,,,"Kimio Ikeda : Producer & Original Creator, Kunitoshi Okajima : Chief Director & Episode Director & Storyboard, Mayori Sekijima : Screenplay & Series Composition, Takeshi Ike : Music, Osamu Totsuka : Music, Noritaka Suzuki : Character Design, Hitoshi Nagao : Art Director, Youko Mihashi : Color Design"
Digimon Savers: Tokuten Eizou,,,
Mazinger Z vs Dark General,,"Mazinger Z, UFO Robo Grendizer, Dynamic Superobot Wars: Super Robot Retsuden, Mazinger Angel Z, Shin Mazinger Zero, Mazinger Otome, Geki-man! Mazinger Z-hen","Go Nagai : Original Creator, Chuumei Watanabe : Music, Tokio Kagawa : Music"
Mysteria Friends,,"Rage of Bahamut: Twin Heads, Rage of Bahamut: Manaria Friends","Hideki Okamoto : Director, Takashi Watanabe : Music, Minami Yoshida : Character Design, Michiko Kaku : Color Design"
Magical Girl Lyrical Nanoha Picture Drama,,Original Chronicle Magical Girl Lyrical Nanoha The 1st,
THE CHARM PARK: Lost,,,"Kousuke Sugimoto : Director, The Charm Park : Song Performance"
Uchuu Taitei God Sigma,,,"Takeyuki Kanda : Director, Kaoru Shintani : Character Design, Kazuhiko Udagawa : Character Design, Kazuya Miyazaki : Episode Director & Storyboard, Kenji Terada : Episode Director & Storyboard, Kan Fukumoto : Animation Director"
A Dark Rabbit Has Seven Lives,,"A Dark Rabbit Has Seven Lives (Light Novel), A Dark Rabbit Has Seven Lives, A Dark Rabbit Has Seven Lives: Kurenai Gekkou no Seitokaishitsu (Light Novel), A Dark Rabbit Has Seven Lives: Kurenai Gekkou no Seitokaishitsu","Takashi Yamamoto : Director, Shigeo Komori : Music, Satoru Isono : Character Design, Yoshikazu Iwanami : Sound Director, Yoshikazu Kumagai : Producer, Akira Yoshikawa : Producer, Jun Fukuda : Producer, Seiichi Kawashima : Producer"
God Mazinger,,"UFO Robo Grendizer, God Mazinger, Shin Mazinger Zero","Kentarou Haneda : Music, Satoshi Hirayama : Character Design, Shunzou Katou : Producer, Norio Hatsukawa : Producer, Hiroyuki Hoshiyama : Screenplay"
Masquerade,Explicit Sex,,"Yuusuke Yamamoto : Director, T.K.Crow : Music, Masaki Kajishima : Character Design, Kazunori Takahashi : Character Design"
Aesthetica of a Rogue Hero Specials,Sexual Content,"Aesthetica of a Rogue Hero (Light Novel), Aesthetica of a Rogue Hero",
Dog Days '': Gravure Talk,,Dog Days,
Gerotan,,,Hiroaki Sakurai : Director
Mikito-P: Boku wa Hatsune Miku to Kiss wo Shita,,,Mikito-P : Producer
Toushi Gordian,,,"Shigeru Yanagawa : Director, Masaaki Jinbo : Music, Masayuki Yamamoto : Music, Ippei Kuri : Character Design, Shouji Kawamori : Mechanical Design, Kenji Terada : Episode Director"
Battle Spirits: Double Drive,,Battle Spirits: Sword Eyes,"Kunihisa Sugishima : Director, Nobuaki Nobusawa : Music, Yoshinori Yumoto : Character Design, Sayako Muramatsu : Producer"
Chichi Kaeru,,,Shigeo Shichiji : Director
Obentou Bako no Uta: Anata e no Otegami,,,Toshiaki Hanzaki : Director
Kotobadori (Masahiro Okano),,,
Last Note: Uchouten Vivace,,"Mikagura School Suite, Mikagura School Suite (Light Novel), Mikagura School Suite: Koushiki Anthology Comic",Last Note : Producer
To the Abandoned Sacred Beasts,,To The Abandoned Sacred Beasts,"Maybe : Original Creator, Jun Shishido : Director, Yoshihiro Ike : Music, Daisuke Niinuma : Character Design, Yuri Terao : Producer, Yuuichi Tada : Producer, Toshihiro Suzuki : Producer, Takeru Satou : Episode Director & Storyboard"
Ginga Tansa 2100-nen: Border Planet,,,"Osamu Tezuka : Director, Kentarou Haneda : Music, Takayuki Matsutani : Producer, Hidehiko Takei : Producer, Shuuichi Kakesu : Editor, Shinya Takahashi : Chief Animation Director"
Kenshi Yonezu: Koi to Byonetsu,,,Kenshi Yonezu : Music
Luger Code 1951,"Animal Abuse,, Mature Themes,, Physical Abuse,, Violence",Luger Code 1951,"Haruto Haneki : Original Creator, Shinya Takahashi : Director, Ryou Kawasaki : Music, Hirofumi Morimoto : Character Design"
Shisukon Ouji,,,
Kuusou Suizokukan,,,
Iconic Field,,,"Ikuto Yamashita : Director & Character Design, Monolith : Music, Se-Jun Kim : Character Design, Tomoyuki Ogata : Producer"
Hitotsuboshi-ke no Ultra Baasan,,,"Masayuki Yamamoto : Music, Mitsutoshi Kubota : Color Design, Shuuichi Kakesu : Editor, Kimiyo Shimazaki : Key Animator, Toshiya Nonaka : Key Animator, Keiichi Katou : Key Animator, Masahiro Ootani : Key Animator, Akihiko Mamashita : Key Animator"
Ojisan and Marshmallow,,Ojisan and Marshmallow,"Rekomaru Otoi : Original Creator, Tokihiro Sasaki : Director, Hisayoshi Hirasawa : Director, Mari Shirakawa : Character Design"
iMarine Project: Marine Mirage MMD,,,Wakamurap : Director
Muzumuzu Eighteen,,,
Eigo de Asobo: Tanken Goblin Tou,,,
Osu!! Karate Bu,,Osu!! Karate Club,"Kouji Takahashi : Original Creator, Osamu Sekita : Director, Akira Yamazaki : Music, Eiichi Endo : Character Design, Shuuichi Kakesu : Editor"
A Destructive God Sits Next to Me,,A Destructive God Sits Next to Me,"Arata Aki : Original Creator, Atsushi Nigorikawa : Director, Kanako Hara : Music, Yuki Nakano : Character Design"
Convenience Store Senki Purin-tai,,,
Buppu na Mainichi,,,Takeshi Onaka : Director
it’s MAREY o’clock now!,,,Mareykrap : Producer & Director
Yami Yami,,,"Toshiko Hata : Director, Etsuko Yakushimaru : Song Composition & Song Lyrics & Song Performance"
Hai! Akko Desu,,,
MIYAVI: Raise Me Up Teaser Video,,,Miyavi : Music
Yorushika: Parade,,,"Suis : Song Performance, Yorushika : Song Performance, N-Buna : Song Arrangement & Song Composition & Song Lyrics"
Maeterlinck's Blue Bird,,,"Hiroshi Sasagawa : Director, Leiji Matsumoto : Character Design"
Be Rockin',,,
Fate/Kaleid Liner Prisma Illya 2wei! First Bra - Illya-hen,,"Fate/Stay Night: Comic Battle, Fate/Stay Night, Fate/Zero (Light Novel), Fate/Tiger Colosseum Upper, Fate/Kaleid Liner Prisma Illya, Fate/Kaleid Liner Prisma Illya 2wei!, Fate/Extra, Fate/Apocrypha (Light Novel), Fate/Kaleid Liner Prisma Illya 3rei!!, Fate/Prototype: Tribute Phantasm, Fate/Extra: CCC Fox Tail, Fate/Hollow Ataraxia, Fate/Prototype: Soukan no Fragments (Light Novel), Fate/Kaleid Liner Prisma Illya (Light Novel), Fate/strange Fake, Fate/Mahjong Night: Seihai Sensou, Fate/Gudaguda Order, Fate/strange Fake (Light Novel), Fate/stay night: Garden of Avalon (Light Novel), Fate/Labyrinth (Light Novel), Fate/Apocrypha, Today's Menu for Emiya Family, Fate/Ixtella",
Baldr Force EXE,"Mature Themes,, Violence",,"Takashi Yamazaki : Director, Takeshi Watanabe : Music, Hideki Yamazaki : Character Design, Eiji Inomoto : Cg Director, Nobuhiro Nakayama : Producer, Satoru Negishi : Producer, Kenji Yasuda : Storyboard, Masaki Hinata : Key Animator"
Is It Wrong to Try to Pick Up Girls in a Dungeon? II OVA,,"Is It Wrong to Try to Pick Up Girls in a Dungeon? (Light Novel), Is it Wrong to Try to Pick Up Girls in a Dungeon?, Is It Wrong to Try to Pick Up Girls in a Dungeon? II",
Chom-P: Pantsu Nugeru mon!,,,Chom-P : Producer
IDOLiSH7: MONSTER GENERATiON,,,Idolish7 : Song Performance
Rilakkuma: Tebukuro wo Todoke ni,,,
Dropout Idol Fruit Tart,,Ochikobore Fruit Tart,"Sou Hamayumiba : Original Creator, Keiichirou Kawaguchi : Director, Yoshimi Umino : Art Director"
The [email protected]: Cinderella Girls Theater Specials,,"The [email protected], The [email protected]: Cinderella Girls - Ensemble!, THE [email protected]: Cinderella Girls - New Generations, THE [email protected]: Cinderella Girls Theater, The [email protected]: Cinderella Girls - Rockin' Girl, Jupiter: THE [email protected], The [email protected]: Cinderella Girls - Wild Wind Girl",
Gyari: Akari ga Yattekita Zou,,,Gyari : Producer
